Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00113399,1,Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Recurrent Head and Neck Cancer That Cannot Be Removed By Surgery,Treatment,Parallel Assignment,Open Label,Randomized,Biological|Drug|Drug|Drug|Drug|Radiation,Phase 3,"Cancers and Other Neoplasms|All Conditions|Respiratory Tract (Lung and Bronchial) Diseases|Ear, Nose, and Throat Diseases|Rare Diseases",NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,5-Apr,7-Jun-05,9-Feb,,27-Nov-12,Terminated early due to low accrual.,,2,15,Actual,240,,TRUE,,15,15,0,0.06,8,13,0,,2 - No Scientific Data
NCT00113919,1,UARK 2003-25: A Study of Intravenous (IV) Busulfan (Busulfex??) in Multiple Myeloma Patients,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Other,Phase 1|Phase 2,"Cancers and Other Neoplasms|Heart and Blood Diseases|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",OTHER,,Multiple,United States|United States,4-Jun,10-Jun-05,9-Oct,9-Oct,14-Apr-11,Due to poor accrual,,2,14,Actual,50,,TRUE,,14,14,0,0.28,12,14,0,,2 - No Scientific Data
NCT00115063,1,LOSS- Louisiana Obese Subjects Study,Treatment,Parallel Assignment,Open Label,Randomized,Behavioral|Drug|Behavioral|Other|Other,Phase 4,Nutritional and Metabolic Diseases|Symptoms and General Pathology|All Conditions,OTHER,,Single,United States,5-Jul,20-Jun-05,7-Dec,8-Jan,1-Mar-10,ethical issues of continuing control group without treatment,,12,390,Actual,480,,TRUE,,390,390,187,0.81,28,390,1,20101009,2 - No Scientific Data
NCT00117312,1,Extension Study Investigating the Long-Term Safety and Tolerability of Repeat Doses of FE200486 in Prostate Cancer Patients,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug|Drug,Phase 2,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions",INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,2-Oct,30-Jun-05,5-Nov,5-Nov,22-Jan-09,After 190 weeks [7 patients left] it was terminated for administrative reasons,,4,37,Actual,37,,FALSE,E,82,37,82,1,14,,0,,2 - No Scientific Data
NCT00121186,1,"S0501 Fludarabine, Melphalan, and Donor Stem Cell Transplant Followed By Tacrolimus and Methotrexate in Treating Patients for Relapsed Lymphoma",Treatment,Single Group Assignment,Open Label,,Drug|Drug|Drug|Drug|Procedure|Procedure,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,NETWORK,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,5-Jul,19-Jul-05,8-Jan,11-Dec,5-Mar-12,poor accrual,,2,1,Actual,50,,TRUE,,1,1,1,0.02,0,1,0,,2 - No Scientific Data
NCT00122980,1,Stroke With Transfusions Changing to Hydroxyurea,Prevention,Parallel Assignment,Open Label,Randomized,Procedure|Procedure|Drug|Procedure,Phase 3,Nervous System Diseases|Heart and Blood Diseases|All Conditions|Blood and Lymph Conditions|Diseases and Abnormalities at or before Birth|Nutritional and Metabolic Diseases|Symptoms and General Pathology,OTHER,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,6-Oct,20-Jul-05,10-Jun,10-Dec,28-Dec-11,The study has been stopped due to safety and futility concerns.,,5,134,Actual,150,,FALSE,E,133,134,133,0.89,43,133,1,22318199,1 - Scientific Data
NCT00124709,1,Safety and Efficacy of Pimecrolimus Cream 1% in Atopic Disease Modification,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 4,Respiratory Tract (Lung and Bronchial) Diseases|Immune System Diseases|All Conditions|Diseases and Abnormalities at or before Birth|Skin and Connective Tissue Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,3-Oct,26-Jul-05,8-Jan,8-Nov,8-Dec-10,,,9,1091,Actual,1100,,TRUE,,1091,1091,1053,0.99,79,1087,0,,3 - No Reason Provided
NCT00124748,1,Efficacy of 400 Mg Versus 800 Mg Imatinib in Chronic Myeloid Leukemia in Chronic Phase Patients - TOPS (Tyrosine Kinase Inhibitor Optimization and Selectivity),Treatment,Parallel Assignment,Open Label,Randomized,Drug,Phase 3,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Australia|Brazil|Canada|Canada|Canada|Canada|Italy|Italy|Italy|Italy|Italy|Italy,5-Jun,27-Jul-05,10-Nov,10-Nov,2-Nov-11,This study was prematurely discontinued because no improvement was observed in the 800mg dose compared to 400mg dose,,6,476,Actual,420,,TRUE,,476,476,476,1.13,163,473,1,22315495,1 - Scientific Data
NCT00125268,1,Near Infrared Light for the Treatment of Painful Peripheral Neuropathy,Treatment,Parallel Assignment,Double Blind,Randomized,Device|Device,Phase 3,Nervous System Diseases|Symptoms and General Pathology|All Conditions|Diseases and Abnormalities at or before Birth|Substance Related Disorders|Behaviors and Mental Disorders|Rare Diseases,OTHER,,Single,United States,5-Jul,27-Jul-05,10-Apr,10-Apr,2-Aug-12,Unable to enroll enough patients,,2,30,Actual,60,,TRUE,,30,30,0,0.5,1,30,0,,2 - No Scientific Data
NCT00126568,1,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Gland and Hormone Related Diseases|Rare Diseases,NIH,,Single,United States,5-Jun,2-Aug-05,11-Sep,,23-May-12,Administratively complete.,,11,36,Actual,36,,FALSE,F,20,20,18,0.56,8,20,1,23113752,2 - No Scientific Data
NCT00126659,1,Sorafenib in Treating Patients Who Are Undergoing Surgery for Metastatic Kidney Cancer,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Procedure,Phase 2,"Cancers and Other Neoplasms|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions|Rare Diseases",OTHER,,Single,United States,6-Jan,2-Aug-05,9-Dec,9-Dec,28-Sep-12,Slow Accrual.,,2,10,Actual,45,,TRUE,,10,10,0,0.22,1,10,0,,2 - No Scientific Data
NCT00127036,1,Trial for Microarray Analysis of Colon Cancer Outcome-A (MACCO-A),Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Digestive System Diseases,OTHER,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,3-Oct,3-Aug-05,10-Dec,10-Dec,5-Jan-12,drug now on market,,7,65,Actual,150,,TRUE,,65,65,0,0.43,20,65,0,,2 - No Scientific Data
NCT00127101,1,An Investigational Study of a Histone Deacetylase (HDAC) Inhibitor Plus Targretin in Cutaneous T-Cell Lymphoma Patients,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 1,Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,INDUSTRY,,,,5-Sep,2-Aug-05,8-Oct,8-Oct,6-Jul-09,The study was stopped due to low enrollment.,,2,23,Actual,42,,TRUE,,23,23,22,0.55,8,,1,22239668,2 - No Scientific Data
NCT00128921,1,Study of Velcade?? and Bone Formation in Patients With Relapsed/Refractory Multiple Myeloma,Prevention,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|Heart and Blood Diseases|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,6-Apr,8-Aug-05,8-Feb,8-Feb,15-Apr-11,study terminated due to low accrual,,2,18,Actual,30,,TRUE,,18,18,16,0.6,1,16,0,,2 - No Scientific Data
NCT00131508,1,Trial of Oral Glutamine in Patients With Sickle Cell Anemia,Prevention,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Blood and Lymph Conditions|All Conditions|Diseases and Abnormalities at or before Birth|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,4-May,17-Aug-05,9-Apr,9-Apr,19-Feb-10,Due to slow participant accrual,,2,27,Actual,46,,FALSE,F,25,25,25,0.54,0,25,0,,2 - No Scientific Data
NCT00136916,1,Efficacy and Safety of Inhaled Insulin Compared With Subcutaneous Human Insulin Therapy in Adults With Type 2 Diabetes,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|Symptoms and General Pathology|All Conditions|Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Brazil|Brazil|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Puerto Rico|Puerto Rico|Puerto Rico|Puerto Rico|Puerto Rico,2-Jun,25-Aug-05,8-Dec,8-Dec,10-Dec-09,See termination reason in detailed description.,"Pfizer announced in October 2007 that it would stop marketing Exubera. Nektar, the company from which Pfizer licensed Exubera, announced on April 9, 2008 that it had stopped its search for a new marketing partner. Accordingly, there will be no commercial availability of Exubera. As a result, study A2171029 was terminated on June 9, 2008. Neither safety nor efficacy reasons were the cause of the study termination.",16,635,Actual,600,,TRUE,,635,635,615,1.06,152,627,1,19905885,2 - No Scientific Data
